state,total_pop,men,women,hispanic_prcnt,hispanic_count,white_prcnt,white_count,black_prcnt,black_count,native_prcnt,native_count,asian_prcnt,asian_count,pacific_prcnt,pacific_count,citizen,poverty_prcnt, poverty_count,childpoverty_prcnt,childpoverty_count,professional_prcnt,professional_count,service_prcnt,service_count,office_prcnt,office_count,construction_prcnt,construction_count,production_prcnt,production_count,drive_prcnt,drive_count,carpool_prcnt,carpool_count,transit_prcnt,transit_count,walk_prcnt,walk_count,othertrans_prcnt,othertrans_count,employed,privatework_prcnt,privatework_count,workathome_prcnt,workathome_count,meancommute,public_prcnt,public_count,selfemploy_prcnt,selfemploy_count,unemploy_prcnt,unemploy_count,familywork_prcnt,familywork_count
Nevada,2798636,1407735,1390901,27.51212083,769964.118,51.99197581,1455066.152,8.060549425,225585.438,0.864960538,24207.097,7.529681173,210728.368,0.63058372,17647.743,1863799,15.4622743,432732.775,22.191353,621055.194,27.66428871,774222.743,27.80275799,778097.994,25.96386558,726634.089,8.790590345,246016.626,9.778632091,273668.318,78.00188299,2182988.778,10.83615047,303264.408,3.611221252,101064.938,2.18266284,61084.788,2.153074784,60256.726,1267312,82.43669802,2307103.108,3.271731872,91563.866,22.7,12.44486268,348286.407,5.081142885,142202.694,10.4957033,293736.531,0.109599533,3067.292
New Hampshire,1324201,653484,670717,3.202194682,42403.494,91.42178295,1210608.164,1.184908258,15690.567,0.162383505,2150.284,2.343312684,31030.17,0.006746785,89.341,1020130,8.927398635,118216.702,11.9950173,158838.139,39.73440807,526163.429,15.83328196,209664.478,24.17433456,320116.78,9.052788134,119877.111,11.19321266,148220.634,81.03343276,1073045.527,7.993382802,105848.455,0.863888337,11439.618,2.891629594,38290.988,1.250273335,16556.132,698810,79.33051674,1050495.496,6.018924091,79702.653,25.33,13.54763212,179397.88,7.015089552,92893.886,5.751852929,76166.094,0.109067883,1444.278
New Jersey,8904413,4343027,4561386,18.95898562,1688186.38,57.2051534,5093783.116,12.71022266,1131770.719,0.094889624,8449.364,8.99557452,801003.107,0.002835673,252.5,6053893,10.83560798,964847.286,15.46867628,1377394.822,40.6516502,3619790.825,16.84043812,1499542.161,24.74944306,2203792.625,7.278506635,648108.291,10.47396503,932645.104,72.00355271,6411493.708,8.145861563,725341.156,10.93829676,973991.119,3.06642549,273047.19,1.870756927,166579.923,4281760,81.21640161,7231843.823,3.994394903,355677.419,30.05714286,13.93075693,1240452.131,4.721191459,420394.386,8.82872761,786146.369,0.136505775,12155.038
New Mexico,2084117,1032414,1051703,47.35391214,986910.933,39.21192889,817222.476,1.806738681,37654.548,8.493681353,177018.257,1.299431126,27081.665,0.048173495,1003.992,1457632,21.04256239,438551.62,29.2105271,608781.561,34.86374599,726601.257,21.09189465,439579.762,23.25691811,484701.384,11.50120411,239698.55,9.31828928,194204.051,79.61893171,1659351.691,10.26148119,213861.274,1.046654195,21813.498,2.256598214,47030.147,1.998748439,41656.256,876035,70.55816017,1470514.611,4.732654549,98634.058,19.90909091,22.52987539,469548.963,6.660408413,138810.704,9.314931887,194134.079,0.205723623,4287.521
New York,19673174,9541801,10131373,18.38867668,3617636.359,56.77309362,11169069.49,14.39095942,2831158.486,0.224290732,44125.106,7.92145361,1558401.352,0.005025463,988.668,13531404,15.67637368,3084040.27,21.98014077,4324191.339,38.69129152,7611805.104,20.58942479,4050593.364,23.75878899,4674107.898,7.363723861,1448678.208,9.570138149,1882749.93,53.21507025,10469093.36,6.771871077,1332241.98,27.98135864,5504821.373,6.292518797,1237938.172,1.86044284,366008.157,9254578,78.27700402,15399571.2,3.876687524,762667.482,25.4016129,15.72655096,3093911.734,5.884538733,1157675.544,8.292972217,1631490.854,0.124761124,24544.473
North Carolina,9845333,4795408,5049925,8.832745657,869613.223,64.23586015,6324234.337,21.1771998,2084965.84,1.101652387,108461.346,2.462461869,242437.571,0.043387593,4271.653,7107998,17.3989063,1712980.264,24.9227743,2453730.123,35.4894408,3494053.627,17.83741606,1756153.01,23.37519903,2301366.184,9.604565138,945601.421,13.68821793,1347650.637,81.29225892,8003493.594,10.03075494,987561.226,1.041152006,102504.882,1.776342202,174886.805,1.310533316,129026.369,4372773,78.81624513,7759721.791,4.537123996,446694.966,24.668,15.2164866,1498113.777,5.823677269,573360.42,9.524880997,937756.252,0.168943691,16633.069
North Dakota,721640,367963,353677,2.845224073,20532.275,87.04373122,628142.382,1.615060557,11654.923,5.213567568,37623.189,1.211845241,8745.16,0.035879524,258.921,546486,11.46924394,82766.652,12.94475722,93414.546,34.97262194,252376.429,17.01532828,122789.415,22.38015049,161504.118,13.25219999,95633.176,12.38243833,89356.628,79.99054958,577243.802,9.203020204,66412.675,0.452493903,3265.377,3.988159886,28780.157,1.178630342,8505.468,387716,74.5108762,537700.287,5.187080539,37432.048,18.13773585,16.8317718,121464.798,8.355253173,60294.849,2.914690566,21033.573,0.31662588,2284.899
Ohio,11575977,5662893,5913084,3.374133967,390588.972,80.26157079,9291060.975,12.04039608,1393793.481,0.146815772,16995.36,1.861417555,215477.268,0.008579984,993.217,8709050,15.78312258,1827050.64,23.02743812,2665650.941,34.80038436,4028484.49,17.66253117,2044610.546,23.84835291,2760679.848,7.766070311,898998.513,15.91028889,1841771.382,83.4446924,9659538.4,7.966126954,922157.024,1.646181035,190561.538,2.305731801,266910.983,1.124251059,130143.044,5366673,82.27946824,9524652.319,3.501823578,405370.292,24.34545455,12.57807473,1456035.038,5.000011628,578800.196,8.194891006,948638.698,0.142610771,16508.59
Oklahoma,3849733,1906944,1942789,9.665467241,372094.682,67.30745382,2591157.261,7.116653726,273972.167,6.939887286,267167.131,1.896046557,72992.73,0.127985941,4927.117,2768561,16.72820637,643991.281,23.19143704,892808.405,32.95112581,1268530.364,17.74488475,683130.684,24.05264687,925962.684,11.79839236,454206.604,13.4275076,516923.191,82.45926598,3174461.574,10.42482385,401327.884,0.453662085,17464.779,1.784744916,68707.914,1.380201666,53134.079,1719541,76.27485158,2936378.132,3.473483148,133719.827,21.93896104,17.19227055,661856.513,6.306245342,242773.608,6.396263559,246239.069,0.224810396,8654.6
Oregon,3939233,1948453,1990780,12.34344526,486237.069,77.24843753,3042995.943,1.759533061,69312.107,0.92343144,36376.116,3.926591903,154677.604,0.364800026,14370.323,2867670,16.51073884,650396.473,21.78668675,858228.354,36.42460905,1434850.22,18.78818511,740110.388,23.4821416,925016.271,9.103676629,358615.034,12.20906877,480943.666,71.81365223,2828907.087,10.43178703,410932.397,4.094094536,161275.923,4.021133911,158401.834,3.387261505,133432.123,1789807,77.63598995,3058262.536,6.259198098,246564.397,19.85833333,14.36448903,565850.692,7.831764483,308511.451,9.430098397,371473.548,0.160932217,6339.495
Pennsylvania,12779559,6245344,6534215,6.379255035,815240.661,78.08611444,9979061.066,10.54595484,1347726.521,0.118571228,15152.88,3.048012377,389522.54,0.002710289,346.363,9710416,13.49220324,1724244.074,19.26994708,2462614.256,36.40647561,4652587.031,17.78536573,2272891.307,23.94529278,3060102.818,8.280980557,1058272.796,13.56518693,1733571.067,76.11878831,9727645.462,8.746726479,1117793.071,5.830623795,745128.008,3.954731036,505397.186,1.411107418,180333.305,6001889,83.79385713,10708485.41,3.955027008,505435.01,25.09104478,10.92117593,1395678.121,5.142888225,657238.435,7.96968332,1018490.382,0.144574386,18475.969
Rhode Island,1053661,510388,543273,13.6286279,143599.537,74.54705527,785473.248,5.357668074,56451.659,0.366660624,3863.36,3.193126537,33644.729,0.059835089,630.459,776565,14.2313132,149949.797,20.02703071,211017.012,36.77966974,387533.036,20.21913357,213041.125,24.41725451,257275.088,7.228794176,76166.985,11.355148,119644.766,79.78489808,840662.355,8.534816132,89928.029,2.965947776,31251.035,3.736323542,39368.184,1.514216147,15954.705,518170,82.42161331,868444.395,3.452809775,36380.91,24.4,12.63660551,133146.984,4.892281958,51548.067,8.594585545,90557.796,0.114001467,1201.189
South Carolina,4777576,2322409,2455167,5.326855209,254494.556,63.86271553,3051089.77,27.29734604,1304151.453,0.294206811,14055.954,1.391437645,66476.991,0.053653882,2563.355,3566508,17.93683952,856946.14,26.37099339,1259894.251,32.7261964,1563518.905,18.31756169,875135.431,24.7405675,1181999.415,9.228546506,440900.823,15.00090644,716679.706,82.84192907,3957836.121,9.364050493,447374.629,0.595742611,28462.056,2.165328652,103450.222,1.577539279,75368.138,2075274,78.70644448,3760260.202,3.48597184,166544.954,25.86304348,15.8192695,755777.623,5.331351066,254709.349,9.597324668,458519.48,0.149386802,7137.068
South Dakota,843190,423477,419713,3.312587792,27931.409,83.21605214,701669.43,1.508910091,12722.979,8.292505604,69921.578,1.209726989,10200.297,0.035044533,295.492,621770,14.13996003,119226.729,17.68457939,149114.605,34.96643022,294833.443,17.51147215,147654.982,23.7487622,200247.188,11.04624865,93140.864,12.73557075,107385.059,78.59351937,662692.696,9.447684745,79661.933,0.544100025,4587.797,4.101368612,34582.33,1.520919959,12824.245,430853,74.6562662,629494.171,5.811310262,49000.387,16.84393939,16.59514344,139928.59,8.474125405,71452.978,4.812670335,40579.955,0.284320734,2397.364
Tennessee,6499615,3167756,3331859,4.927205442,320249.384,74.72581064,4856889.997,16.68298415,1084329.74,0.216005686,14039.538,1.565234233,101734.199,0.036715067,2386.338,4828366,17.66818602,1148364.069,25.76796418,1674818.465,33.26395814,2162029.213,17.07263101,1109655.286,24.7095472,1606025.436,9.047072711,588024.895,15.90346891,1033664.251,83.86016799,5450588.058,9.267402808,602345.503,0.76333969,49614.141,1.321141698,85869.124,1.212713753,78821.725,2888742,78.71046825,5115877.401,3.556347691,231148.908,26.38526316,14.22881746,924818.354,6.903709804,448714.558,8.550853027,555772.526,0.159833806,10388.582
Texas,26538614,13171316,13367298,38.41510924,10194837.56,43.84670366,11636307.44,11.58247858,3073829.282,0.257377228,68304.349,4.17671641,1108442.646,0.073691573,19556.722,16864962,17.28142213,4586249.912,24.44167318,6486481.301,34.59705912,9181579.976,17.91016971,4753110.806,24.38892604,6472482.941,11.04095114,2930115.405,12.07331107,3204089.422,80.2429645,21295370.61,10.84197334,2877309.454,1.513875416,401761.553,1.623268303,430792.909,1.735827127,460664.461,12094262,79.04882132,20978461.56,4.034676849,1070747.315,22.41023622,14.11353565,3745536.747,6.675809735,1771667.377,7.081712994,1879388.476,0.14821144,39333.262
Utah,2903379,1459229,1444150,13.41540956,389500.184,79.48068712,2307625.579,1.010878635,29349.638,0.932611071,27077.234,2.166057721,62888.865,0.88474877,25687.61,1868008,12.34625676,358458.626,14.52268708,421648.647,36.71201896,1065889.049,15.68436677,455376.611,26.104467,757911.613,8.963772659,260252.293,12.51796979,363444.106,75.92484416,2204385.981,11.96823084,347483.101,2.44507913,70989.914,2.569182769,74593.113,1.977197328,57405.532,1337646,79.90599942,2319974.007,5.101344812,148111.374,19.95862069,15.37555638,446410.675,4.5546465,132238.65,5.787328316,168028.075,0.152642662,4431.795
Vermont,626604,308573,318031,1.707774607,10700.984,93.60554928,586536.116,1.070457897,6707.532,0.311539665,1952.12,1.381541452,8656.794,0.021856069,136.951,493124,11.5288174,72240.031,15.08210736,94505.088,40.15832408,251633.665,17.4131643,109111.584,21.37001854,133905.391,10.23697567,64145.299,10.84217672,67937.513,75.3705736,472275.029,9.444611908,59180.316,1.151327952,7214.267,5.690334087,35655.861,1.587117222,9944.94,326732,75.83013386,475154.652,6.690763385,41924.591,24.02142857,14.58772526,91407.27,9.354858092,58617.915,5.50499534,34494.521,0.228142495,1429.55
Virginia,8256630,4060948,4195682,8.591601804,709376.772,63.4386507,5237894.665,18.90565696,1560970.144,0.20217762,16693.058,5.921403418,488908.371,0.067576348,5579.529,5948625,11.65956832,962687.416,16.01316239,1322147.57,41.64864859,3438774.814,17.13879867,1415087.193,22.71381661,1875395.796,8.625432955,712170.085,9.8910521,816667.575,78.07897553,6446692.117,9.489978211,783552.388,4.098447696,338393.662,2.298581661,189785.383,1.556761185,128536.011,3990770,74.47112264,6148805.053,4.493567024,371017.203,27.3481203,20.38517029,1683128.086,5.008295164,413516.401,6.596541664,544652.038,0.119670846,9880.779
Washington,6985464,3487725,3497739,11.9714366,836260.394,70.76497584,4943261.912,3.482617619,243277,1.167582926,81561.085,7.597591355,530727.009,0.606643539,42376.866,4937212,13.28387931,927940.607,17.22554974,1203284.576,38.26241572,2672807.276,17.67612197,1234759.137,22.622395,1580279.259,9.936717776,694125.843,11.50121498,803413.232,73.02471697,5101115.315,10.32710355,721396.101,5.659967641,395375.002,3.432332068,239764.321,2.092520067,146172.236,3259877,77.25831709,5396851.927,5.452135062,380856.932,22.87179487,16.49883561,1152520.222,6.061257248,423406.943,7.938559944,554545.247,0.184085696,12859.24
West Virginia,1851420,913631,937789,1.36869619,25340.315,92.54487971,1713394.412,3.26459712,60441.404,0.140042346,2592.772,0.719256247,13316.454,0.019766179,365.955,1455848,18.01896669,333606.753,25.03757678,463550.704,31.65423799,586052.893,18.90970266,350098.017,24.06117083,445473.329,12.30313457,227782.694,13.07089796,241997.219,82.37469008,1525101.487,10.12885547,187527.656,0.766422152,14189.693,2.781299219,51493.53,1.086403895,20113.899,751252,76.39173186,1414331.802,2.86606448,53062.891,27.96545455,19.05199252,352732.4,4.43432117,82097.909,7.872104655,145745.72,0.110466561,2045.2
Wisconsin,5742117,2851385,2890732,6.347727885,364493.962,82.37679854,4730172.153,6.166635441,354095.422,0.803975241,46165.199,2.498064529,143441.788,0.007134024,409.644,4294321,12.96872067,744679.114,17.5847706,1009738.102,34.27399971,1968053.164,17.12986588,983616.941,23.02815624,1322303.674,8.577796743,492547.125,16.97852301,974926.656,80.52717992,4623964.888,8.496623127,487886.041,1.912454936,109815.4,3.315948665,190405.652,1.680719132,96508.859,2883390,82.28457121,4724876.352,4.078223589,234176.37,22.26111111,12.35408232,709385.861,5.168772859,296796.985,6.356414942,364992.783,0.179305507,10295.932
Wyoming,579679,295561,284118,9.621549168,55774.1,84.47483625,489682.886,1.024493211,5938.772,1.903506768,11034.229,0.893260235,5178.042,0.070038073,405.996,430026,11.55880565,67003.969,14.74021277,85445.918,32.55650317,188723.212,17.68619891,102523.181,21.26784444,123285.228,16.05155923,93047.518,12.45448567,72196.038,76.84378423,445447.28,11.21511837,65011.686,1.556640486,9023.518,3.791982977,21981.329,2.107282306,12215.473,293949,72.05265638,417674.118,4.481381075,25977.625,19.86086957,21.27897785,123349.766,6.420345053,37217.392,4.876005513,28265.18,0.243034852,1408.822
